epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1230.17,1.17763,0.79117,1.23968,0.85835,0.73734,0.81273,0.492,1.46126,0.97118,1.43632,0.007228,0.007228,0.007228
30,1272.15,1.16232,0.78058,1.23328,0.83647,0.75942,0.81642,0.49705,1.46551,0.96822,1.44228,0.007129,0.007129,0.007129
31,1313.88,1.15148,0.76714,1.22204,0.85368,0.74074,0.81229,0.49726,1.45406,0.96891,1.43542,0.00703,0.00703,0.00703
32,1355.81,1.14455,0.75979,1.21739,0.85281,0.75095,0.82266,0.50414,1.43275,0.95739,1.43378,0.006931,0.006931,0.006931
33,1397.72,1.12831,0.74608,1.20881,0.85484,0.74357,0.82059,0.50788,1.43789,0.96289,1.43249,0.006832,0.006832,0.006832
34,1439.59,1.12472,0.74444,1.20743,0.83693,0.76224,0.82046,0.50619,1.44091,0.96452,1.43101,0.006733,0.006733,0.006733
35,1481.61,1.10039,0.72714,1.18998,0.85088,0.75212,0.81953,0.5094,1.43666,0.93955,1.43785,0.006634,0.006634,0.006634
36,1523.5,1.09635,0.72064,1.18666,0.86044,0.74768,0.81875,0.50775,1.45737,0.94298,1.4465,0.006535,0.006535,0.006535
37,1565.49,1.087,0.70692,1.1834,0.8653,0.75092,0.82172,0.50619,1.45307,0.95882,1.4408,0.006436,0.006436,0.006436
38,1607.3,1.07943,0.69802,1.17658,0.84948,0.75387,0.81956,0.50998,1.44163,0.93796,1.45227,0.006337,0.006337,0.006337
39,1649.13,1.06285,0.69202,1.16551,0.86817,0.76281,0.83046,0.51667,1.44216,0.93327,1.44597,0.006238,0.006238,0.006238
40,1691.28,1.05029,0.67674,1.15499,0.85738,0.755,0.81916,0.51685,1.42539,0.95181,1.43012,0.006139,0.006139,0.006139
41,1733.32,1.04506,0.67254,1.15425,0.864,0.75375,0.82008,0.51762,1.42374,0.96295,1.43111,0.00604,0.00604,0.00604
42,1775.39,1.0333,0.66552,1.14458,0.86621,0.76495,0.82533,0.52202,1.42018,0.93525,1.43405,0.005941,0.005941,0.005941
43,1817.55,1.01777,0.65189,1.13564,0.86354,0.76337,0.82412,0.52278,1.41106,0.9317,1.42465,0.005842,0.005842,0.005842
44,1859.36,1.01448,0.64639,1.13443,0.8643,0.77469,0.83276,0.52815,1.39783,0.91012,1.42645,0.005743,0.005743,0.005743
45,1901.38,1.0024,0.63299,1.12271,0.86925,0.76423,0.82733,0.53056,1.38617,0.91853,1.41258,0.005644,0.005644,0.005644
46,1943.3,0.99395,0.63074,1.11932,0.87147,0.7668,0.83287,0.52846,1.39531,0.90648,1.41295,0.005545,0.005545,0.005545
47,1985.14,0.98241,0.61809,1.11418,0.86769,0.76224,0.82636,0.52885,1.3997,0.9174,1.42408,0.005446,0.005446,0.005446
48,2027.06,0.97841,0.6148,1.11055,0.87332,0.75867,0.8279,0.53326,1.38789,0.90905,1.41073,0.005347,0.005347,0.005347
49,2068.98,0.96623,0.6084,1.10396,0.87029,0.7727,0.83111,0.53157,1.40264,0.91122,1.43234,0.005248,0.005248,0.005248
50,2111.1,0.95223,0.5982,1.09724,0.87653,0.76787,0.83067,0.53585,1.38396,0.9071,1.41695,0.005149,0.005149,0.005149
51,2152.99,0.95242,0.59764,1.09205,0.85582,0.77639,0.83104,0.53422,1.39377,0.90468,1.43234,0.00505,0.00505,0.00505
52,2195.03,0.93773,0.5856,1.08831,0.8654,0.77417,0.8342,0.53537,1.39111,0.89668,1.42483,0.004951,0.004951,0.004951
53,2237.08,0.93926,0.58703,1.08447,0.86532,0.77186,0.83028,0.53988,1.3834,0.90142,1.42293,0.004852,0.004852,0.004852
54,2279.11,0.927,0.575,1.08087,0.84884,0.78318,0.82548,0.53619,1.38955,0.90011,1.42843,0.004753,0.004753,0.004753
55,2321.06,0.92148,0.57399,1.07636,0.86595,0.77884,0.82804,0.53596,1.39026,0.89941,1.43508,0.004654,0.004654,0.004654
56,2362.95,0.90765,0.56455,1.06736,0.86191,0.77186,0.82904,0.53506,1.3896,0.91176,1.43777,0.004555,0.004555,0.004555
57,2404.87,0.90257,0.56387,1.06302,0.87086,0.76563,0.83161,0.54069,1.38091,0.91614,1.43388,0.004456,0.004456,0.004456
58,2446.74,0.89586,0.5584,1.06477,0.86935,0.77211,0.83365,0.53621,1.38226,0.90841,1.43518,0.004357,0.004357,0.004357
59,2488.58,0.89025,0.5537,1.05845,0.87021,0.77412,0.83067,0.53932,1.37349,0.89853,1.42998,0.004258,0.004258,0.004258
60,2530.53,0.88143,0.54482,1.05677,0.86237,0.78119,0.83337,0.53758,1.38195,0.89166,1.43718,0.004159,0.004159,0.004159
61,2572.33,0.87193,0.54142,1.04735,0.87898,0.77639,0.83664,0.53938,1.37579,0.89286,1.43174,0.00406,0.00406,0.00406
62,2614.4,0.86318,0.5305,1.0399,0.8788,0.77978,0.83782,0.54126,1.37849,0.89369,1.4283,0.003961,0.003961,0.003961
63,2656.29,0.86103,0.53128,1.04094,0.88208,0.77734,0.8378,0.54516,1.37291,0.88917,1.42788,0.003862,0.003862,0.003862
64,2698.23,0.85577,0.52654,1.04213,0.88189,0.77475,0.84244,0.54598,1.36729,0.89393,1.42124,0.003763,0.003763,0.003763
65,2740.36,0.84408,0.51958,1.03611,0.88229,0.77186,0.83889,0.54489,1.37361,0.89373,1.43281,0.003664,0.003664,0.003664
66,2782.75,0.8368,0.51648,1.03,0.87572,0.78601,0.83842,0.54787,1.3757,0.8963,1.44046,0.003565,0.003565,0.003565
67,2824.75,0.82746,0.51031,1.02464,0.87435,0.78009,0.83754,0.54755,1.37996,0.90576,1.44235,0.003466,0.003466,0.003466
68,2866.97,0.82292,0.50416,1.02667,0.86207,0.78193,0.83598,0.54605,1.37707,0.90348,1.44426,0.003367,0.003367,0.003367
69,2909.01,0.81339,0.49725,1.01627,0.86199,0.77469,0.83375,0.54796,1.37163,0.90364,1.44305,0.003268,0.003268,0.003268
70,2951.11,0.80749,0.49362,1.0154,0.86294,0.78035,0.83744,0.54896,1.36539,0.89979,1.43766,0.003169,0.003169,0.003169
71,2993.19,0.79875,0.48795,1.01342,0.86572,0.77716,0.83349,0.54848,1.36521,0.90225,1.43953,0.00307,0.00307,0.00307
72,3035.02,0.79718,0.48548,1.0088,0.87932,0.77096,0.83409,0.54853,1.36336,0.90691,1.43998,0.002971,0.002971,0.002971
73,3076.95,0.78654,0.48304,1.00578,0.8566,0.78543,0.83221,0.54934,1.36406,0.90067,1.4459,0.002872,0.002872,0.002872
74,3118.8,0.78218,0.47299,1.00216,0.86827,0.77865,0.835,0.54913,1.36372,0.90347,1.44633,0.002773,0.002773,0.002773
75,3160.73,0.77508,0.47374,0.99996,0.87201,0.77095,0.8351,0.54894,1.36029,0.90046,1.4454,0.002674,0.002674,0.002674
76,3202.58,0.76716,0.4658,0.99498,0.84901,0.7894,0.83336,0.54947,1.36384,0.9035,1.44934,0.002575,0.002575,0.002575
77,3244.34,0.75861,0.4649,0.99177,0.87348,0.77186,0.83609,0.54983,1.36537,0.89996,1.45215,0.002476,0.002476,0.002476
78,3286.06,0.7532,0.46032,0.98697,0.86357,0.78261,0.83544,0.54967,1.361,0.90177,1.44971,0.002377,0.002377,0.002377
79,3327.92,0.73983,0.44807,0.98505,0.86371,0.78232,0.83436,0.55006,1.35863,0.90661,1.44813,0.002278,0.002278,0.002278
80,3370.13,0.73414,0.44925,0.98096,0.86816,0.77827,0.83353,0.55177,1.3545,0.90927,1.44589,0.002179,0.002179,0.002179
81,3411.99,0.72711,0.44278,0.97949,0.87039,0.77701,0.83373,0.55082,1.3536,0.91106,1.44728,0.00208,0.00208,0.00208
82,3453.87,0.72662,0.44608,0.9792,0.87131,0.77922,0.8344,0.55156,1.35312,0.91264,1.44731,0.001981,0.001981,0.001981
83,3495.6,0.72328,0.44042,0.97434,0.87179,0.78248,0.83666,0.55214,1.35348,0.91055,1.44916,0.001882,0.001882,0.001882
84,3537.49,0.71132,0.43428,0.97063,0.87159,0.77922,0.83452,0.5519,1.35344,0.91132,1.45064,0.001783,0.001783,0.001783
85,3579.71,0.70263,0.43051,0.96992,0.87598,0.77882,0.83383,0.55338,1.35297,0.91088,1.45258,0.001684,0.001684,0.001684
86,3621.59,0.69651,0.42564,0.96183,0.85962,0.78827,0.83082,0.55303,1.35185,0.90877,1.453,0.001585,0.001585,0.001585
87,3663.45,0.69098,0.41914,0.95842,0.86606,0.78254,0.82878,0.55262,1.35339,0.90702,1.45542,0.001486,0.001486,0.001486
88,3705.32,0.6811,0.41494,0.9567,0.87048,0.7814,0.82922,0.55295,1.35453,0.90893,1.45672,0.001387,0.001387,0.001387
89,3747.48,0.6766,0.41414,0.95353,0.869,0.78199,0.82955,0.55295,1.35475,0.9116,1.45812,0.001288,0.001288,0.001288
90,3789.23,0.67372,0.41505,0.95731,0.86887,0.78261,0.82895,0.55355,1.35508,0.91372,1.4603,0.001189,0.001189,0.001189
91,3832.32,0.60572,0.35187,0.9186,0.87388,0.78187,0.82892,0.55471,1.35557,0.91307,1.4619,0.00109,0.00109,0.00109
92,3874.15,0.6004,0.34688,0.91821,0.8771,0.78121,0.82938,0.55441,1.357,0.91546,1.46499,0.000991,0.000991,0.000991
93,3915.89,0.58997,0.3407,0.91256,0.87221,0.78437,0.83125,0.55507,1.35693,0.91821,1.46709,0.000892,0.000892,0.000892
94,3957.93,0.58427,0.33812,0.90961,0.87597,0.78092,0.83117,0.55472,1.35633,0.9208,1.46742,0.000793,0.000793,0.000793
95,3999.67,0.5797,0.33653,0.90928,0.87837,0.78318,0.83174,0.55564,1.35568,0.92264,1.4685,0.000694,0.000694,0.000694
96,4041.64,0.57305,0.33276,0.90936,0.8787,0.7826,0.83141,0.5564,1.35454,0.92332,1.46933,0.000595,0.000595,0.000595
97,4083.48,0.56679,0.32864,0.90317,0.88126,0.78148,0.83132,0.55635,1.35331,0.92296,1.47048,0.000496,0.000496,0.000496
98,4125.46,0.55829,0.32562,0.90342,0.88141,0.78148,0.83176,0.5564,1.35269,0.92373,1.47203,0.000397,0.000397,0.000397
99,4167.36,0.55501,0.32467,0.90249,0.88092,0.78233,0.83147,0.5567,1.35201,0.92372,1.47402,0.000298,0.000298,0.000298
100,4209.43,0.54848,0.32043,0.89936,0.87824,0.78285,0.83082,0.5564,1.35253,0.92554,1.47594,0.000199,0.000199,0.000199
